ENGLISH,FRENCH,WORD_TYPE,EXTRA_HELP
inside,à l'intérieur,adjective,
instrument (musical),l'instrument,noun,
job,le travail,noun,
kill (verb),tuer,verb,
kiss (verb),embrasser,verb,
knee,le genou,noun,
lamp,la lampe,noun,
laptop,l'ordinateur portable,noun,
laugh (verb),rire,verb,
leaf,la feuille,noun,
lie down (verb),se coucher,verb,
lift (verb),soulever,verb,
light (/dark),clair,adjective,
light (/heavy),léger,adjective,
lip,la lèvre,noun,
lock (noun),la serrure,noun,
loose,ample,adjective,
lose (verb),perdre,verb,
loud,bruyant,adjective,
love (verb),aimer,verb,
low,bas,adjective,
magazine,le magazine,noun,
male,mâle,adjective,
manager,le gestionnaire,noun,
market,le marché,noun,
marriage,le mariage,noun,
marry (verb),se marier,verb,
material,le matériel,noun,
mean (/nice),méchant,adjective,
melt (verb),fondre,verb,
metal,le métal,noun,
million,le million,noun,
mix/stir (verb),mélanger,verb,
month,le mois,noun,
mouse,la souris,noun,
murder (noun),le meurtre,noun,
narrow,étroit,adjective,
neck,le cou,noun,
needle,l'aiguille,noun,
network,le réseau,noun,
nice,gentil,adjective,
note (on paper),la note,noun,
nuclear,nucléaire,adjective,
oil,l'huile,noun,
old (/new),vieux,adjective,
old (/young),âgé,adjective,
page,la page,noun,
pain,la douleur,noun,
paint,la peinture,noun,
pants,le pantalon,noun,
patient (noun),le patient,noun,
pattern,le motif,noun,
peace,la paix,noun,
pen,le stylo,noun,
photograph,la photographie,noun,
piece,le morceau,noun,
pig,le cochon,noun,
plant (noun),la plante,noun,
plastic,le plastique,noun,
plate,l'assiette,noun,
poison (noun),le poison,noun,
police,la police,noun,
pork,le porc,noun,
pound (weight),la livre,noun,
pray (verb),prier,verb,
priest,le prêtre,noun,
prison,la prison,noun,
program (computer),le programme,noun,
pull (verb),tirer,verb,
push (verb),pousser,verb,
quiet,silencieux,adjective,
race (ethnicity),la race,noun,
race (sport),la course,noun,
rain (noun),la pluie,noun,
religion,la religion,noun,
reporter,le journaliste,noun,
ring,la bague,noun,
river,la rivière,noun,
roof,le toit,noun,
root,la racine,noun,
sand,le sable,noun,
science,la science,noun,
screen,l'écran,noun,
season,la saison,noun,
secretary,le secrétaire,noun,
seed,la graine,noun,
sex (gender),le sexe,noun,
sex (the act),le sexe,noun,
shake (verb),secouer,verb,
shallow,peu profond,adjective,
ship,le navire,noun,
shirt,la chemise,noun,
shoot (a gun),tirer,verb,
short (long),court,adjective,
short (vs. tall),petit,adjective,
shoulder,l'épaule,noun,
sick,malade,adjective,
side,le côté,noun,
sign (noun),le panneau,noun,
sign (verb),signer,verb,
silver,l'argent,noun,
silver,l'argent,noun,
sit (verb),s'asseoir,verb,
skin,la peau,noun,
skirt,la jupe,noun,
sky,le ciel,noun,
smell (verb),sentir,verb,
smile (verb),sourire,verb,
snow (noun),la neige,noun,
soap,le savon,noun,
soft,doux,adjective,
soldier,le soldat,noun,
son,le fils,noun,
sound,le son,noun,
soup,la soupe,noun,
space (outer space),l'espace,noun,
spring (season),le printemps,noun,
stain,la tache,noun,
stand (verb),se tenir debout,verb,
star,l'étoile,noun,
stone,la pierre,noun,
straight,droit,adjective,
student,l'étudiant,noun,
suit (noun),le costume,noun,
Sunday,dimanche,noun,
sweat (noun),la sueur,noun,
sweat (noun),la sueur,noun,
swim (verb),nager,verb,
T-shirt,le t-shirt,noun,
tall,grand,adjective,
teach (verb),enseigner,verb,
teacher,l'enseignant,noun,
tear (drop),la larme,noun,
technology,la technologie,noun,
temperature,la température,noun,
theater,le théâtre,noun,
thick,épais,adjective,
thin,mince,adjective,
throw (verb),jeter,verb,
Thursday,jeudi,noun,
tight,serré,adjective,
tire (of a car),le pneu,noun,
toe,le orteil,noun,
tongue,la langue,noun,
tool,l'outil,noun,
tooth,la dent,noun,
top,le haut,noun,
transportation,le transport,noun,
truck,le camion,noun,
turn (verb),tourner,verb,
ugly,moche,adjective,
up,en haut,adjective,
voice (noun),la voix,noun,
vowel,la voyelle,noun,
vship,
waiter,le serveur,noun,
wall,le mur,noun,
wall,le mur,noun,
warm (adjective),chaud,adjective,
wave (ocean),la vague,noun,
weak,faible,adjective,
wedding,le mariage,noun,
weight,le poids,noun,
wet (adj.),mouillé,adjective,
wide,large,adjective,
wing,l'aile,noun,
winter,l'hiver,noun,
wood,le bois,noun,
yard,la cour,noun,
